,group_id,artist_id
337,100749,571
338,100749,1557
339,100023,1624
340,100023,678811
341,100087,785887
342,101495,8601
343,101495,2875623
344,101495,8604
345,101495,2875624
346,100005,1576
347,100005,5228
348,100005,1577
349,100195,1966
350,100195,1967
351,100195,3237
352,101552,500153
353,101552,684665
354,101552,684666
355,101552,495647
356,101552,634292
357,101552,6108
358,101864,845
359,101864,681451
360,100391,4172
361,100391,726774
362,100391,6410
363,100070,1729
364,100070,5599
365,100070,1728
366,100070,262069
367,100070,221072
368,100070,261837
369,100070,1723
370,100185,214784
371,100766,672092
372,100766,4162
373,100766,4163
374,100766,4164
375,100766,674134
376,100742,3959
377,100742,14801
378,100445,160949
379,100737,1103
380,100737,3873
381,101014,6239
382,101014,6241
383,100139,1843
384,100139,215885
385,101448,1585
386,101448,1586
387,101448,1584
388,101159,738
389,101159,1516
390,101223,673097
391,101223,2901294
392,101223,2901296
393,101223,2901297
394,101223,2901299
395,102409,1680
396,102409,1681
397,101758,12872
398,160080,151315
399,160080,4293
400,101491,174619
401,101491,672229
402,101491,8589
403,101491,674132
404,103289,1732
405,103289,410161
406,101472,5486
407,101472,8470
408,101472,2087758
409,101487,261743
410,101487,446668
411,101487,22639
412,101487,253498
413,101111,674599
414,101111,7116
415,101111,27067
416,105623,30349
417,105623,30348
418,105623,21356
419,105623,30350
420,161636,214784
421,161636,1935
422,161636,1934
423,105803,3622
424,105803,10210
425,105803,30655
426,105803,466422
427,105696,46742
428,105696,16812
429,105696,204052
430,105696,18917
431,106718,13459
432,106718,1844
433,106718,6822
434,101094,439041
435,101094,672424
436,101094,672425
437,101094,672427
438,101447,192775
439,101447,478041
440,101843,673696
441,101843,673694
442,101843,15968
443,101843,2961132
444,101339,10451
445,101339,675991
446,101339,675993
447,101339,675994
448,101339,43639
449,107728,3959
450,107728,265067
451,107728,45162
452,107728,280266
453,107744,1741
454,107744,1582
455,107744,1123
456,101463,425681
457,106851,49134
458,106851,613632
459,108363,259768
460,108363,417791
461,108363,205858
462,160091,46187
463,160091,46184
464,160091,46182
465,160091,46183
466,160091,728859
467,103326,26278
468,103326,676011
469,103326,26280
470,103326,151915
471,107725,51146
472,107725,221838
473,107725,583271
474,108358,3264
475,108358,3262
476,55255,47321
477,55255,43806
478,55255,447788
479,108356,231070
480,108356,4325
481,108356,619232
482,160801,262069
483,160801,5599
484,160801,1728
485,160801,1680
486,160801,1681
487,100908,174121
488,100908,3125549
489,100908,30456
490,100908,53039
491,100908,28840
492,108417,29683
493,108417,53546
494,108417,53549
495,108417,53557
496,108988,1628897
497,108988,896203
498,164914,723197
499,164914,602117
500,100144,428828
501,100144,654593
502,101224,184927
503,101224,685196
504,100686,3535
505,100686,3536
506,100686,3537
507,101886,669933
508,101886,669954
509,103491,22964
510,165235,723487
511,101099,439040
512,101099,686776
513,107224,39667
514,107224,39670
515,105789,600892
516,105789,667560
517,100260,674880
518,100260,674883
519,100260,35807
520,100260,35808
521,170042,21336
522,170042,672738
523,170042,672741
524,170541,253518
525,170541,759
526,170541,5362
527,170541,421340
528,170541,438780
529,108240,51931
530,108240,674116
531,108240,1909250
532,108240,2644459
533,100366,2616
534,100366,30439
535,100366,2615
536,100366,2617
537,100366,2402588
538,106928,11245
539,106928,5601
540,172193,611515
541,172193,2295245
542,173323,302367
543,173323,2086731
544,173323,101068
545,101218,6027
546,101218,9203
547,174997,672271
548,174997,672273
549,174997,992311
550,175203,226510
